Sample_ID,Sample_Name,Fastq.Read.1.File,Fastq.Read.2.File,ML,TRT,Combos,Comment
93,754BP,S93,754BP_S93_L001_R1_001.fastq,754BP_S93_L001_R2_001.fastq,PA4.11Ip,Inter,PA 4.11 Ip-PA 4.15 Ihed,
94,673AP,S94,673AP_S94_L001_R1_001.fastq,673AP_S94_L001_R2_001.fastq,PA4.11Ip,Inter,PA 4.11 Ip-PA 4.15 Ihed,
95,Zymopost_plateC,S95,Zymopost_plateC_S95_L001_R1_001.fastq,Zymopost_plateC_S95_L001_R2_001.fastq,Control,Control,Control,
96,Water_neg_plateC,S96,Water_neg_plateC_S96_L001_R1_001.fastq,Water_neg_plateC_S96_L001_R2_001.fastq,Control,Control,Control,
97,8P,S97,8P_S97_L001_R1_001.fastq,8P_S97_L001_R2_001.fastq,PA4.17Ip,Inter,PA 4.17 Ip-PA 4.3 Ihed,
98,442P,S98,442P_S98_L001_R1_001.fastq,442P_S98_L001_R2_001.fastq,PA4.15Ip,Alone,NA,
99,20H,S99,20H_S99_L001_R1_001.fastq,20H_S99_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.17 Ip-PA 4.3 Ihed,
100,234P,S100,234P_S100_L001_R1_001.fastq,234P_S100_L001_R2_001.fastq,PA4.16Ip,Alone,NA,
101,232H,S101,232H_S101_L001_R1_001.fastq,232H_S101_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.19 Ip-PA 4.3 Ihed,
102,212P,S102,212P_S102_L001_R1_001.fastq,212P_S102_L001_R2_001.fastq,PA4.16Ip,Alone,NA,
103,232P,S103,232P_S103_L001_R1_001.fastq,232P_S103_L001_R2_001.fastq,PA4.19Ip,Inter,PA 4.19 Ip-PA 4.3 Ihed,
104,25H,S104,25H_S104_L001_R1_001.fastq,25H_S104_L001_R2_001.fastq,PA4.7Ihed,Inter,PA 4.1 Ip-PA 4.7 Ihed,
105,35P,S105,35P_S105_L001_R1_001.fastq,35P_S105_L001_R2_001.fastq,PA4.18Ip,Inter,PA 4.18 Ip-PA 4.3 Ihed,
106,93AH,S106,93AH_S106_L001_R1_001.fastq,93AH_S106_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.11 Ip-PA 4.15 Ihed,
107,89AP,S107,89AP_S107_L001_R1_001.fastq,89AP_S107_L001_R2_001.fastq,PA4.14Ip,Inter,PA 4.14 Ip-PA 4.15 Ihed,
108,93AP,S108,93AP_S108_L001_R1_001.fastq,93AP_S108_L001_R2_001.fastq,PA4.11Ip,Inter,PA 4.11 Ip-PA 4.15 Ihed,
109,84P,S109,84P_S109_L001_R1_001.fastq,84P_S109_L001_R2_001.fastq,PA4.11Ip,Alone,NA,
110,86P,S110,86P_S110_L001_R1_001.fastq,86P_S110_L001_R2_001.fastq,PA4.18Ip,Alone,NA,
111,442AP,S111,442AP_S111_L001_R1_001.fastq,442AP_S111_L001_R2_001.fastq,#N/A,#N/A,#N/A,Remove
112,914P,S112,914P_S112_L001_R1_001.fastq,914P_S112_L001_R2_001.fastq,PA4.19Ip,Inter,PA 4.19 Ip-PA 4.15 Ihed,
113,964P,S113,964P_S113_L001_R1_001.fastq,964P_S113_L001_R2_001.fastq,PA4.19Ip,Alone,NA,
