Sample_ID,Sample_Name,Fastq.Read.1.File,Fastq.Read.2.File,ML,TRT,Combos,Comment
171,339P,S171,339P_S171_L001_R1_001.fastq,339P_S171_L001_R2_001.fastq,PA4.15Ip,Inter,PA 4.15 Ip-PA 4.3 Ihed,
172,543P,S172,543P_S172_L001_R1_001.fastq,543P_S172_L001_R2_001.fastq,PA4.16Ip,Inter,PA 4.16 Ip-PA 4.12 Ihed,
173,693H,S173,693H_S173_L001_R1_001.fastq,693H_S173_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.15 Ip-PA 4.3 Ihed,
174,857AP,S174,857AP_S174_L001_R1_001.fastq,857AP_S174_L001_R2_001.fastq,PA4.16Ip,Inter,PA 4.16 Ip-PA 4.15 Ihed,
175,349H,S175,349H_2_S175_L001_R1_001.fastq,349H_2_S175_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.19 Ip-PA 4.12 Ihed,Duplicate?
176,143AP,S176,143AP_S176_L001_R1_001.fastq,143AP_S176_L001_R2_001.fastq,PA4.18Ip,Inter,PA 4.18 Ip-PA 4.2 Ihed,
177,117AH,S177,117AH_S177_L001_R1_001.fastq,117AH_S177_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.18 Ip-PA 4.15 Ihed,
178,844P,S178,844P_S178_L001_R1_001.fastq,844P_S178_L001_R2_001.fastq,PA4.17Ip,Inter,PA 4.17 Ip-PA 4.15 Ihed,
179,861P,S179,861P_S179_L001_R1_001.fastq,861P_S179_L001_R2_001.fastq,PA4.13Ip,Inter,PA 4.13 Ip-PA 4.12 Ihed,
180,155AH,S180,155AH_S180_L001_R1_001.fastq,155AH_S180_L001_R2_001.fastq,PA4.2Ihed,Inter,PA 4.19 Ip-PA 4.2 Ihed,
181,797AP,S181,797AP_S181_L001_R1_001.fastq,797AP_S181_L001_R2_001.fastq,PA4.19Ip,Inter,PA 4.19 Ip-PA 4.2 Ihed,
182,661P,S182,661P_S182_L001_R1_001.fastq,661P_S182_L001_R2_001.fastq,PA4.2Ip,Inter,PA 4.2 Ip-PA 4.15 Ihed,
183,155AP,S183,155AP_S183_L001_R1_001.fastq,155AP_S183_L001_R2_001.fastq,PA4.19Ip,Inter,PA 4.19 Ip-PA 4.2 Ihed,
184,157P,S184,157P_S184_L001_R1_001.fastq,157P_S184_L001_R2_001.fastq,PA4.17Ip,Inter,PA 4.17 Ip-PA 4.12 Ihed,
185,291H,S185,291H_S185_L001_R1_001.fastq,291H_S185_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.19 Ip-PA 4.12 Ihed,
186,157H,S186,157H_S186_L001_R1_001.fastq,157H_S186_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.17 Ip-PA 4.12 Ihed,
187,141AP,S187,141AP_S187_L001_R1_001.fastq,141AP_S187_L001_R2_001.fastq,PA4.18Ip,Inter,PA 4.18 Ip-PA 4.15 Ihed,
188,151AH,S188,151AH_S188_L001_R1_001.fastq,151AH_S188_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.2 Ip-PA 4.15 Ihed,
189,719AP,S189,719AP_S189_L001_R1_001.fastq,719AP_S189_L001_R2_001.fastq,PA4.16Ip,Inter,PA 4.16 Ip-PA 4.2 Ihed,
190,699AP,S190,699AP_S190_L001_R1_001.fastq,699AP_S190_L001_R2_001.fastq,PA4.13Ip,Inter,PA 4.13 Ip-PA 4.2 Ihed,
191,Zymopost_plateD,S191,Zymopost_plateD_S191_L001_R1_001.fastq,Zymopost_plateD_S191_L001_R2_001.fastq,Control,Control,Control,
192,Water_neg_plateD,S192,Water_neg_plateD_S192_L001_R1_001.fastq,Water_neg_plateD_S192_L001_R2_001.fastq,Control,Control,Control,
