"ML","Species","Trt","Block","Combos","Position","trans.SKL_NODES","trans.DIA_STM","trans.DIA_STM_SIMPLE","trans.AREA","trans.AVG_DENSITY","trans.TD_AVG","trans.WIDTH_MAX","trans.D10","trans.D20","trans.D30","trans.D40","trans.D50","trans.D60","trans.D70","trans.D80","trans.D90","trans.RDISTR_X","trans.RDISTR_Y","trans.SKL_DEPTH","trans.SKL_WIDTH","trans.RTP_COUNT","trans.STA_RANGE","trans.STA_MAX","trans.RTA_RANGE","trans.RTA_MAX","trans.ADVT_COUNT","trans.BASAL_COUNT","trans.ADVT_ANG","trans.BASAL_ANG","trans.HYP_DIA","trans.TAP_DIA","trans.MAX_DIA_90","trans.DROP_50","PC1","PC2","PC3","PC4","Sample_ID"
"PA4.7Ihed","Ihed","Inter","1","PA 4.19 Ip-PA 4.7 Ihed","1",-0.277477631828783,-0.285980619151206,-0.0283967984362156,-0.671557041177411,-1.2790486914765,-0.548980788134182,-0.131006069736959,-0.0591989327213756,-0.178087102367094,-0.264414827210838,-0.422506482928184,-0.5556729300377,-0.62232546937463,-0.637652167851958,-0.680792423880157,-0.805121532877807,0.356493259079605,0.379593316093526,0.0220117297860195,-0.192553398746885,0.604060338636746,0.339221015504724,0.189940755657567,0.994952398373835,0.53613820276833,-1.1340869689982,2.22576111925499,0.964987952556868,0.316067431908049,-0.289849200984799,-0.563157376439334,-0.400240042415917,0.0214338184111018,-2.00614947100619,-0.0200291612776688,2.01299812199154,-0.896520853734791,"1H"
"PA4.19Ip","Ip","Inter","1","PA 4.19 Ip-PA 4.7 Ihed","1",-0.68417602453434,-0.0212967668538436,-0.424189243886302,-1.0460083132585,-0.111475023197216,-0.681317704896973,-0.932439261426685,-0.194098677230705,0.0103135869156879,0.162897360027736,0.0887004553821266,0.0337447890567194,-0.0174729824961552,-0.092429828114678,-0.175902690624367,-0.313016110399834,0.0960141595500903,0.473600553693797,-0.424967849149904,-0.926812300147318,0.0360683198750683,0.588368769448408,0.443713009963592,0.170047592979915,0.396841900469537,0.648291506158671,-1.89223411124041,0.115073910991061,1.06397785624527,-0.506460814269075,-0.804297054204567,-0.5160291114206,-0.424557764388529,-1.84276035377818,0.853049409704841,0.284678223851406,2.1525184347998,"1P"
"PA4.1Ip","Ip","Inter","1","PA 4.1 Ip-PA 4.9 Ihed","10",0.000933149907301589,-0.33988524039393,-0.244051336782816,-0.5634222644864,-0.403984731970177,-0.528617143240124,-0.444653492398994,-0.117327338037183,-0.34050509012892,-0.423590055917866,-0.501205375116107,-0.563917746481982,-0.622220004330948,-0.690064468643523,-0.767617175700432,-0.895618948969278,0.421899844547367,0.498184996982964,-0.219737080856276,-0.541019819051321,1.1163575001183,0.643713973409652,0.503221259245565,0.801592810019124,0.676411042239252,-0.341918757817367,2.48422585766828,-0.216456378086944,1.05042231332054,-0.30816991678434,-0.563293353607415,-0.451727264341832,-0.220550136648384,-2.12303466371367,-0.280360193922988,2.62052063613717,-0.909526411282939,"10P"
"PA4.7Ihed","Ihed","Inter","1","PA 4.1 Ip-PA 4.7 Ihed","100",-0.458223962127083,-0.520232268366435,-0.343961727169063,-0.977489917999754,-1.02288873153191,-0.673112067076213,-0.705382456995831,0.530252224017428,0.254581771837031,0.181460402835545,0.0881556568756067,0.0274442850972941,-0.0668017408483043,-0.16483194230101,-0.239868609397525,-0.317353680982054,0.0464900465914471,0.462144297314315,-0.33787974254133,-0.760796676398005,0.448559267189956,0.248486984087617,0.0918237405992653,0.145647613517227,0.662196055974641,1.4404597173395,0.197793075393751,0.883878634694418,-0.147055250083721,-0.548090599122585,-0.792373244089357,-0.5160291114206,-0.338503646658273,-1.65492470763914,0.662518359357626,1.38323248627504,0.591452730811618,"100H"
"PA4.1Ip","Ip","Inter","1","PA 4.1 Ip-PA 4.7 Ihed","100",-0.46264832567864,-0.804614122335468,-0.269731134242003,-1.01525623783823,-0.636599543808724,-0.691409253392963,-0.910946588123979,0.511274774499323,0.290054694652196,0.196245076662387,0.0880348850702048,0.0302010305039082,-0.0396654142454608,-0.0997068561593251,-0.1622941792411,-0.272816510283288,0.255220450060434,0.404695822363883,-0.249645423820644,-0.923509161351605,0.198003414168562,0.542428904072543,0.385395478878862,-1.03454939479313,0.652620277778959,1.63850177013471,-0.374865339183041,0.676182262338771,0.898439183070693,-0.602000719277804,-0.862134418032265,-0.665305041722445,-0.250412618254685,-1.73292804988209,1.35386811424839,1.11951850595839,1.11718969234697,"100P"
"PA4.7Ihed","Ihed","Inter","4","PA 4.13 Ip-PA 4.7 Ihed","1000",-1.94021852594356,-1.24907177906339,-0.673144690065739,-1.25946337861584,0.577582631085573,-0.416917928881204,-1.81521331226244,-0.0991979097384241,-0.0383587716879004,0.0214500300615548,-0.0309447681878534,-0.0701780672272887,-0.141484552386503,-0.216982071473777,-0.277880727059748,-0.365273252540131,0.0524963746740988,0.612387271522688,-0.721491961744665,-1.70682526132782,-2.42379229736645,-4.99288035048625,-5.02225761306443,-3.44250609021151,0.431753942097496,0.0541653477730484,-1.44203314391602,0.836107861211408,1.1237032481546,-0.515734510624248,-0.320148145304388,-0.514446822031354,-0.720142043483097,-3.22732127850697,6.14510621632675,-5.37736117579276,-2.12669475707508,"1000H"
"PA4.13Ip","Ip","Inter","4","PA 4.13 Ip-PA 4.7 Ihed","1000",-1.28994130764281,-1.30808571089027,-1.19358001836778,0.509310833424105,0.0685530733925915,0.298538908784979,1.07095620836316,-0.233549298693964,-0.484151572036236,-0.433668037017987,-0.373180899759613,-0.380430595644838,-0.443678144457974,-0.466154820382047,-0.47222294717627,-0.530190272520447,1.3434700233947,0.784326016933752,-1.19275662548698,1.28454517917873,-1.51216817983665,-2.22729033906426,-2.36898640081186,-1.68373256500375,-6.55806291936272,-0.738002863407782,-0.374865339183041,-2.095124158987,-2.15140085870532,0.24585397731184,0.217343065689071,0.171482082938454,-1.19233556019178,-1.63761995144376,-3.37061081018775,-6.41973523692925,-2.86609761327384,"1000P"
"PA4.12Ihed","Ihed","Inter","1","PA 4.18 Ip-PA 4.12 Ihed","103",-1.29160595259863,0.645833584287986,-0.494630023294091,0.0325091549476734,-0.336140639110904,-0.380938865125689,0.361979217180528,-1.66307717020929,-0.445536038765331,-0.474558425466044,-0.593065221270295,-0.716254352804293,-0.817335700561561,-0.939642733742669,-1.10196498200116,-1.2098653652327,0.514791407690016,0.567379372615998,-0.453452004268163,0.32073031143589,-1.31576223465443,0.421994364145366,0.579248453721561,0.637286898995752,-0.499716535522482,-0.341918757817367,-1.04860482141801,-0.856299241290311,-0.365309692928344,-0.288090887997595,-0.75540520268205,-0.211554296532689,-0.454447843289092,-2.74387953439603,-1.77320255073206,-1.13554744237328,0.853348913323875,"103H"
"PA4.18Ip","Ip","Inter","1","PA 4.18 Ip-PA 4.12 Ihed","103",-0.588916048291897,0.403884490773731,-0.68384265192957,0.27924275494551,0.73355196693891,-0.473369136170962,1.21425338740072,-0.273231018532608,-0.00828987664980168,0.238045027558123,0.129765444466384,0.0324289400758432,-0.092101560384043,-0.232358891975415,-0.397020676906889,-0.629059399137113,-1.107089613957,0.60678041716718,-0.662545623114932,1.10211165304077,0.0545394634622818,0.637591795650763,0.614325184274943,0.437035790378962,-1.01611345639587,2.03458587572512,-0.223853373691436,-1.83857128519485,-0.868519150396444,-0.241231416120631,-0.71682102791293,-0.400712256752844,-0.663237481131637,-0.483358283910027,-3.16249651924599,-0.410204106225491,0.349193541637913,"103P"
"PA4.2Ihed","Ihed","Inter","1","PA 4.16 Ip-PA 4.2 Ihed","103A",0.494483343373063,-0.707915303040498,-0.289433565184773,-0.650405375095878,-1.20945982099606,-0.676225916023536,-0.541774569541104,0.486712361167154,0.262625115912618,0.250862945230629,0.188999324516368,0.150752386217425,0.0949751977349619,0.036997290635675,-0.0310639185700107,-0.165386631183263,-0.00785947435976159,0.426602821972994,-0.271354334763929,-0.575297874350788,1.6938364316932,0.612927899355931,0.477360184880988,0.260668324536098,0.67629796912583,-1.1340869689982,0.934232826831714,1.23805779786085,0.679411934460931,-0.481011926317939,-0.700815271623796,-0.665305041722445,-0.272091863903365,-1.09704236946229,0.649023792625444,2.13126156235968,0.0531184586119877,"103AH"
