"","Kingdom","Phylum","Class","Order","Family","Genus"
"Otu01793","Bacteria","Armatimonadetes","Armatimonadia","Armatimonadales","Armatimonadales_fa","Armatimonadales_ge"
"Otu01794","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Cupriavidus"
"Otu01801","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Porphyrobacter"
"Otu01813","Bacteria","Bacteroidetes","Ignavibacteria","OPB56","OPB56_fa","OPB56_ge"
"Otu01823","Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","uncultured"
"Otu01825","Bacteria","Chloroflexi","Anaerolineae","SBR1031","SBR1031_unclassified","SBR1031_unclassified"
"Otu01835","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","OM27_clade"
"Otu01837","Bacteria","Chloroflexi","SHA-26","SHA-26_or","SHA-26_fa","SHA-26_ge"
"Otu01839","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Luteibacter"
"Otu01849","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cytophagaceae","Cytophaga"
"Otu01852","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcaceae","Aggregicoccus"
"Otu01857","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","mle1-27","mle1-27_ge"
"Otu01861","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","Litorilinea"
"Otu01867","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","Caldilineaceae_unclassified"
"Otu01872","Bacteria","Planctomycetes","vadinHA49","vadinHA49_or","vadinHA49_fa","vadinHA49_ge"
"Otu01879","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","bacteriap25","bacteriap25_ge"
"Otu01895","Bacteria","Acidobacteria","Subgroup_18","Subgroup_18_or","Subgroup_18_fa","Subgroup_18_ge"
"Otu01913","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavihumibacter"
"Otu01916","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Verrucomicrobium"
"Otu01928","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Qipengyuania"
"Otu01930","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","KD3-93","KD3-93_ge"
"Otu01939","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","Enhygromyxa"
"Otu01942","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Lysinibacillus"
"Otu01953","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Sediminibacterium"
"Otu01958","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Actinokineospora"
"Otu01971","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacteraceae_unclassified"
"Otu01975","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Demequinaceae","Lysinimicrobium"
"Otu01983","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetacia_unclassified","Planctomycetacia_unclassified","Planctomycetacia_unclassified"
"Otu01984","Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae","Solimonadaceae_unclassified"
"Otu01993","Bacteria","Bacteroidetes","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified","Bacteroidetes_unclassified"
"Otu02011","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Desulfosporosinus"
"Otu02028","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Phaselicystidaceae","Phaselicystis"
"Otu02060","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella"
"Otu02082","Bacteria","Actinobacteria","Actinobacteria","Catenulisporales","Catenulisporaceae","Catenulispora"
"Otu02091","Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Parachlamydiaceae","Candidatus_Protochlamydia"
"Otu02094","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Geodermatophilaceae","Geodermatophilaceae_unclassified"
"Otu02122","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Dinghuibacter"
"Otu02148","Bacteria","Acidobacteria","Acidobacteriia","Subgroup_13","Subgroup_13_fa","Subgroup_13_ge"
"Otu02156","Bacteria","Elusimicrobia","Elusimicrobia","Lineage_IV","Lineage_IV_fa","Lineage_IV_ge"
"Otu02162","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Achromobacter"
"Otu02184","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Otu02197","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Nostoc_PCC-7107"
"Otu02211","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Turicibacter"
"Otu02220","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Cellvibrionaceae","Cellvibrio"
"Otu02222","Bacteria","Chloroflexi","OLB14","OLB14_or","OLB14_fa","OLB14_ge"
"Otu02223","Bacteria","Planctomycetes","Phycisphaerae","Pla1_lineage","Pla1_lineage_fa","Pla1_lineage_ge"
"Otu02226","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacteriaceae_unclassified"
"Otu02257","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Labilithrix"
"Otu02267","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Kaistiaceae","Kaistia"
"Otu02286","Bacteria","Acidobacteria","Holophagae","Holophagae_unclassified","Holophagae_unclassified","Holophagae_unclassified"
"Otu02290","Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","Fibrobacterales_unclassified","Fibrobacterales_unclassified"
"Otu02307","Bacteria","Chloroflexi","JG30-KF-CM66","JG30-KF-CM66_or","JG30-KF-CM66_fa","JG30-KF-CM66_ge"
"Otu02385","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"Otu02395","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Gimesiaceae","uncultured"
"Otu02404","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatirosa"
"Otu02414","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Cryptosporangiaceae","Cryptosporangium"
"Otu02436","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Aquicella"
"Otu02464","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Chitinibacteraceae","Chitinibacteraceae_unclassified"
"Otu02473","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Rhodanobacter"
"Otu02480","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Inquilinaceae","Inquilinus"
"Otu02494","Bacteria","Chloroflexi","Ktedonobacteria","B12-WMSP1","B12-WMSP1_fa","B12-WMSP1_ge"
"Otu02528","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","Elsteraceae","uncultured"
"Otu02544","Bacteria","Proteobacteria","Alphaproteobacteria","Tistrellales","Geminicoccaceae","Geminicoccaceae_unclassified"
"Otu02550","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","KD3-10","KD3-10_ge"
"Otu02569","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified"
"Otu02582","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SM2D12","SM2D12_ge"
"Otu02585","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Gordonia"
"Otu02595","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Brevibacillus"
"Otu02597","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Coleofasciculaceae","Microcoleus_PCC-7113"
"Otu02601","Bacteria","Bacteroidetes","Ignavibacteria","SJA-28","SJA-28_fa","SJA-28_ge"
"Otu02605","Bacteria","Actinobacteria","Acidimicrobiia","uncultured","uncultured_fa","uncultured_ge"
"Otu02676","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillaceae_unclassified"
"Otu02684","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas"
"Otu02685","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"Otu02711","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Uliginosibacterium"
"Otu02741","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Zymophilus"
"Otu02742","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","Nitrosomonas"
"Otu02770","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Janthinobacterium"
"Otu02807","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Rhodovastum"
"Otu02814","Bacteria","Armatimonadetes","Armatimonadia","Armatimonadales","Armatimonadales_unclassified","Armatimonadales_unclassified"
"Otu02839","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cytophagales_unclassified","Cytophagales_unclassified"
"Otu02844","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Domibacillus"
"Otu02887","Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae","Shimazuella"
"Otu02890","Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02"
"Otu02934","Bacteria","Proteobacteria","Deltaproteobacteria","NB1-j","NB1-j_fa","NB1-j_ge"
"Otu02969","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Sporosarcina"
"Otu02975","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","A4b_unclassified"
"Otu02997","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Sporichthyaceae","Sporichthya"
"Otu03001","Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","AKYG587"
"Otu03013","Bacteria","WPS-2","WPS-2_cl","WPS-2_or","WPS-2_fa","WPS-2_ge"
"Otu03027","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Rhodocyclaceae_unclassified"
"Otu03034","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobiaceae_unclassified"
"Otu03069","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Ammoniphilus"
"Otu03100","Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Parachlamydiaceae","Parachlamydiaceae_unclassified"
"Otu03115","Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae","Panacagrimonas"
"Otu03119","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","uncultured"
"Otu03120","Bacteria","Actinobacteria","Actinobacteria","Catenulisporales","Actinospicaceae","Actinospica"
"Otu03123","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadales_fa","Saccharimonadales_ge"
"Otu03127","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Thermomonosporaceae_unclassified"
"Otu03131","Bacteria","Actinobacteria","Rubrobacteria","Rubrobacterales","Rubrobacteriaceae","Rubrobacter"
"Otu03151","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rubellimicrobium"
"Otu03184","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Saprospiraceae_unclassified"
"Otu03188","Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Phycisphaeraceae_unclassified"
"Otu03196","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Asticcacaulis"
"Otu03197","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","OLB13"
"Otu03259","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaetaceae_unclassified"
"Otu03318","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Rhodoplanes"
"Otu03333","Bacteria","Elusimicrobia","Elusimicrobia","MVP-88","MVP-88_fa","MVP-88_ge"
"Otu03338","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cytophagaceae","Rhodocytophaga"
"Otu03347","Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","uncultured"
"Otu03406","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","P3OB-42_ge"
"Otu03436","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosiaceae_unclassified"
"Otu03451","Bacteria","Proteobacteria","Alphaproteobacteria","Holosporales","Holosporaceae","uncultured"
"Otu03475","Bacteria","Proteobacteria","Gammaproteobacteria","KF-JG30-C25","KF-JG30-C25_fa","KF-JG30-C25_ge"
"Otu03498","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium"
"Otu03528","Bacteria","Planctomycetes","Pla4_lineage","Pla4_lineage_or","Pla4_lineage_fa","Pla4_lineage_ge"
"Otu03553","Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae","Candidatus_Paracaedibacter"
"Otu03554","Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophaceae","uncultured"
"Otu03627","Bacteria","Omnitrophicaeota","Omnitrophia","Omnitrophales","Omnitrophaceae","Candidatus_Omnitrophus"
"Otu03634","Bacteria","Planctomycetes","Phycisphaerae","S-70","S-70_fa","S-70_ge"
"Otu03635","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Mycoavidus"
"Otu03636","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Starkeya"
"Otu03663","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Umezawaea"
"Otu03688","Bacteria","Dependentiae","Babeliae","Babeliales","Vermiphilaceae","Vermiphilaceae_ge"
"Otu03701","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acidisoma"
"Otu03739","Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales","uncultured","uncultured_ge"
"Otu03765","Bacteria","Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineosporia"
"Otu03774","Bacteria","Patescibacteria","Parcubacteria","Parcubacteria_or","Parcubacteria_fa","Parcubacteria_ge"
"Otu03826","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus"
"Otu03877","Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","Elsterales_unclassified","Elsterales_unclassified"
"Otu03891","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae","Silvanigrella"
"Otu03892","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola"
"Otu03924","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","uncultured"
"Otu03930","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas"
"Otu03935","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus"
"Otu03948","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Prosthecobacter"
"Otu04014","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Arcticibacter"
"Otu04032","Bacteria","Armatimonadetes","Armatimonadetes_unclassified","Armatimonadetes_unclassified","Armatimonadetes_unclassified","Armatimonadetes_unclassified"
"Otu04044","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia"
"Otu04096","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Blfdi19","Blfdi19_ge"
"Otu04102","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas"
"Otu04105","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Rhodocyclaceae","Dechloromonas"
"Otu04110","Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Phycisphaera"
"Otu04118","Bacteria","Planctomycetes","Phycisphaerae","mle1-8","mle1-8_fa","mle1-8_ge"
"Otu04127","Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae","Paracaedibacteraceae_unclassified"
"Otu04129","Bacteria","Actinobacteria","Actinobacteria","Glycomycetales","Glycomycetaceae","Glycomyces"
"Otu04150","Bacteria","Elusimicrobia","Elusimicrobia_unclassified","Elusimicrobia_unclassified","Elusimicrobia_unclassified","Elusimicrobia_unclassified"
"Otu04158","Bacteria","Dependentiae","Babeliae","Babeliales","Babeliales_unclassified","Babeliales_unclassified"
"Otu04179","Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","uncultured"
"Otu04220","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","Flexibacter"
"Otu04242","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Pseudochrobactrum"
"Otu04251","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingoaurantiacus"
"Otu04252","Bacteria","Bacteroidetes","Ignavibacteria","Ignavibacteria_unclassified","Ignavibacteria_unclassified","Ignavibacteria_unclassified"
"Otu04330","Bacteria","Proteobacteria","Alphaproteobacteria","Tistrellales","Geminicoccaceae","uncultured"
"Otu04356","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Filimonas"
"Otu04364","Bacteria","Chloroflexi","Chloroflexia","Chloroflexia_unclassified","Chloroflexia_unclassified","Chloroflexia_unclassified"
"Otu04396","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Schlesneriaceae","Schlesneria"
"Otu04397","Bacteria","FCPU426","FCPU426_cl","FCPU426_or","FCPU426_fa","FCPU426_ge"
"Otu04399","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Pseudohongiellaceae","BIyi10"
"Otu04413","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Crossiella"
"Otu04442","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cytophagaceae","Cytophagaceae_unclassified"
"Otu04446","Bacteria","Cyanobacteria","Cyanobacteria_unclassified","Cyanobacteria_unclassified","Cyanobacteria_unclassified","Cyanobacteria_unclassified"
"Otu04466","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","uncultured","uncultured_ge"
"Otu04481","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium_1"
"Otu04583","Bacteria","Cyanobacteria","Oxyphotobacteria","Leptolyngbyales","Leptolyngbyaceae","Leptolyngbyaceae_unclassified"
"Otu04605","Bacteria","Verrucomicrobia","Verrucomicrobiae","Methylacidiphilales","Methylacidiphilaceae","uncultured"
"Otu04617","Bacteria","Armatimonadetes","Armatimonadia","Armatimonadales","Armatimonadaceae","Armatimonas"
"Otu04624","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Coleofasciculaceae","Coleofasciculaceae_unclassified"
"Otu04674","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Rudaea"
"Otu04680","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Rubritepida"
"Otu04704","Bacteria","Patescibacteria","Patescibacteria_unclassified","Patescibacteria_unclassified","Patescibacteria_unclassified","Patescibacteria_unclassified"
"Otu04717","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Belnapia"
"Otu04734","Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Chlamydiales_unclassified","Chlamydiales_unclassified"
"Otu04796","Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales","uncultured","uncultured_ge"
"Otu04836","Bacteria","Patescibacteria","ABY1","Candidatus_Magasanikbacteria","Candidatus_Magasanikbacteria_fa","Candidatus_Magasanikbacteria_ge"
"Otu04849","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","Sandaracinus"
"Otu04857","Bacteria","Proteobacteria","Gammaproteobacteria","JG36-GS-52","JG36-GS-52_fa","JG36-GS-52_ge"
"Otu04863","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacteraceae_unclassified"
"Otu04866","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Lautropia"
"Otu04884","Bacteria","Verrucomicrobia","Verrucomicrobiae","UA11","UA11_fa","UA11_ge"
"Otu04933","Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmataceae_unclassified"
"Otu04934","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Caenimonas"
"Otu04943","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Promicromonosporaceae","Isoptericola"
"Otu04961","Bacteria","Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineococcus"
"Otu04995","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60(NOR5)_clade"
"Otu05026","Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomycetaceae_unclassified"
"Otu05050","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Rickettsia"
"Otu05051","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","Tepidisphaeraceae","Tepidisphaera"
"Otu05158","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Ancylothrix_8PC"
"Otu05214","Bacteria","Omnitrophicaeota","Omnitrophicaeota_cl","Omnitrophicaeota_or","Omnitrophicaeota_fa","Omnitrophicaeota_ge"
"Otu05256","Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae","Nevskia"
"Otu05258","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Saccharibacillus"
"Otu05270","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Fictibacillus"
"Otu05293","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"Otu05367","Bacteria","Gemmatimonadetes","Longimicrobia","Longimicrobiales","Longimicrobiaceae","Longimicrobiaceae_unclassified"
"Otu05432","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Rickettsiaceae_unclassified"
"Otu05450","Bacteria","Verrucomicrobia","Verrucomicrobiae","uncultured","uncultured_fa","uncultured_ge"
"Otu05474","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Geodermatophilaceae","Modestobacter"
"Otu05489","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Candidatus_Megaira"
"Otu05554","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Crocinitomicaceae_unclassified"
"Otu05595","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Rhodoferax"
"Otu05615","Bacteria","Armatimonadetes","Fimbriimonadia","Fimbriimonadales","Fimbriimonadaceae","Fimbriimonas"
"Otu05616","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Terrisporobacter"
"Otu05636","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","1921-3"
"Otu05669","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Microlunatus"
"Otu05672","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Aureimonas"
"Otu05730","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","uncultured"
"Otu05779","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis"
"Otu05810","Bacteria","Proteobacteria","Gammaproteobacteria","Acidiferrobacterales","Acidiferrobacteraceae","Sulfurifustis"
"Otu05834","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","uncultured"
"Otu05841","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptococcaceae","Thermincola"
"Otu05852","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","IMCC26134"
"Otu05882","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Fulvimonas"
"Otu05944","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinocorallia"
"Otu05956","Bacteria","Patescibacteria","Parcubacteria","Parcubacteria_unclassified","Parcubacteria_unclassified","Parcubacteria_unclassified"
"Otu05987","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","uncultured"
"Otu05994","Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Parachlamydiaceae","Neochlamydia"
"Otu06006","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Undibacterium"
"Otu06015","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Azospirillum"
"Otu06026","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerocolumna"
"Otu06032","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiales_unclassified","Verrucomicrobiales_unclassified"
"Otu06065","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas"
"Otu06066","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter"
"Otu06081","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","VHS-B3-70","VHS-B3-70_ge"
"Otu06089","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acidiphilium"
"Otu06095","Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XVIII","uncultured"
"Otu06122","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"Otu06180","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","uncultured"
"Otu06241","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Larkinella"
"Otu06246","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Pelosinus"
"Otu06285","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","uncultured"
"Otu06295","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Vulgatibacteraceae","Vulgatibacter"
"Otu06306","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","uncultured"
