Sample_ID,Sample_Name,Fastq Read 1 File,Fastq Read 2 File,ML,TRT,Combos,Comment
914H,S41,914H_S41_L001_R1_001.fastq,914H_S41_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.19 Ip-PA 4.15 Ihed,
583H,S42,583H_S42_L001_R1_001.fastq,583H_S42_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.15 Ip-PA 4.12 Ihed,
789H,S43,789H_S43_L001_R1_001.fastq,789H_S43_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.14 Ip-PA 4.12 Ihed,
356H,S44,356H_S44_L001_R1_001.fastq,356H_S44_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.17 Ip-PA 4.12 Ihed,
375AH,S45,375AH_S45_L001_R1_001.fastq,375AH_S45_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.16 Ip-PA 4.15 Ihed,
746H,S46,746H_S46_L001_R1_001.fastq,746H_S46_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.18 Ip-PA 4.12 Ihed,
331AH,S47,331AH_S47_L001_R1_001.fastq,331AH_S47_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.19 Ip-PA 4.15 Ihed,
716H,S48,716H_S48_L001_R1_001.fastq,716H_S48_L001_R2_001.fastq,PA4.2Ihed,Inter,PA 4.18 Ip-PA 4.2 Ihed,
727AH,S49,727AH_S49_L001_R1_001.fastq,727AH_S49_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.14 Ip-PA 4.15 Ihed,
719AH,S50,719AH_S50_L001_R1_001.fastq,719AH_S50_L001_R2_001.fastq,PA4.2Ihed,Inter,PA 4.16 Ip-PA 4.2 Ihed,
699AH,S51,699AH_S51_L001_R1_001.fastq,699AH_S51_L001_R2_001.fastq,PA4.2Ihed,Inter,PA 4.13 Ip-PA 4.2 Ihed,
339AH,S52,339AH_S52_L001_R1_001.fastq,339AH_S52_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.14 Ip-PA 4.15 Ihed,
754BH,S53,754BH_S53_L001_R1_001.fastq,754BH_S53_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.11 Ip-PA 4.15 Ihed,
657H,S54,657H_S54_L001_R1_001.fastq,657H_S54_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.19 Ip-PA 4.3 Ihed,
672H,S55,672H_S55_L001_R1_001.fastq,672H_S55_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.2 Ip-PA 4.3 Ihed,
755H,S56,755H_S56_L001_R1_001.fastq,755H_S56_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.13 Ip-PA 4.3 Ihed,
632H,S57,632H_S57_L001_R1_001.fastq,632H_S57_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.19 Ip-PA 4.3 Ihed,
673AH,S58,673AH_S58_L001_R1_001.fastq,673AH_S58_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.11 Ip-PA 4.15 Ihed,
736AH,S59,736AH_S59_L001_R1_001.fastq,736AH_S59_L001_R2_001.fastq,#N/A,#N/A,#N/A,Remove
360H,S60,360H_S60_L001_R1_001.fastq,360H_S60_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.18 Ip-PA 4.3 Ihed,
389AH,S61,389H_S61_L001_R1_001.fastq,389H_S61_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.18 Ip-PA 4.15 Ihed,Remove idk if it is 389AH
373AH,S62,373AH_S62_L001_R1_001.fastq,373AH_S62_L001_R2_001.fastq,PA4.2Ihed,Inter,PA 4.16 Ip-PA 4.2 Ihed,
483H,S63,483H_S63_L001_R1_001.fastq,483H_S63_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.2 Ip-PA 4.12 Ihed,
901P,S64,901P_S64_L001_R1_001.fastq,901P_S64_L001_R2_001.fastq,PA4.16Ip,Inter,PA 4.16 Ip-PA 4.12 Ihed,
875AP,S65,875AP_S65_L001_R1_001.fastq,875AP_S65_L001_R2_001.fastq,PA4.18Ip,Inter,PA 4.18 Ip-PA 4.15 Ihed,
491H,S66,491H_S66_L001_R1_001.fastq,491H_S66_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.14 Ip-PA 4.12 Ihed,
440P,S67,440P_S67_L001_R1_001.fastq,440P_S67_L001_R2_001.fastq,PA4.18Ip,Alone,NA,
478P,S68,478P_S68_L001_R1_001.fastq,478P_S68_L001_R2_001.fastq,PA4.2Ip,Alone,NA,
13AH,S69,13H_S69_L001_R1_001.fastq,13H_S69_L001_R2_001.fastq,PA4.2Ihed,Inter,PA 4.2 Ip-PA 4.2 Ihed, idk if it is 13AH
15H,S70,15H_S70_L001_R1_001.fastq,15H_S70_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.13 Ip-PA 4.3 Ihed,
13AP,S71,13P_S71_L001_R1_001.fastq,13P_S71_L001_R2_001.fastq,PA4.2Ip,Inter,PA 4.2 Ip-PA 4.2 Ihed, idk if it is 13AP
20P,S72,20P_S72_L001_R1_001.fastq,20P_S72_L001_R2_001.fastq,PA4.17Ip,Inter,PA 4.17 Ip-PA 4.3 Ihed,
8H,S73,8H_S73_L001_R1_001.fastq,8H_S73_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.17 Ip-PA 4.3 Ihed,
31AH,S74,31H_S74_L001_R1_001.fastq,31H_S74_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.11 Ip-PA 4.15 Ihed, idk if it is 31AH
461P,S75,461P_S75_L001_R1_001.fastq,461P_S75_L001_R2_001.fastq,PA4.1Ip,Inter,PA 4.1 Ip-PA 4.3 Ihed,
21H,S76,21H_S76_L001_R1_001.fastq,21H_S76_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.11 Ip-PA 4.3 Ihed,
461AH,S77,461AH_S77_L001_R1_001.fastq,461AH_S77_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.2 Ip-PA 4.15 Ihed,
42P,S78,42P_S78_L001_R1_001.fastq,42P_S78_L001_R2_001.fastq,PA4.17Ip,Alone,NA,
547P,S79,547P_S79_L001_R1_001.fastq,547P_S79_L001_R2_001.fastq,PA4.13Ip,Alone,NA,
528P,S80,528P_S80_L001_R1_001.fastq,528P_S80_L001_R2_001.fastq,PA4.19Ip,Alone,NA,
542H,S81,542H_S81_L001_R1_001.fastq,542H_S81_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.13 Ip-PA 4.3 Ihed,
525P,S82,525P_S82_L001_R1_001.fastq,525P_S82_L001_R2_001.fastq,PA4.18Ip,Alone,NA,
542P,S83,542P_S83_L001_R1_001.fastq,542P_S83_L001_R2_001.fastq,PA4.13Ip,Inter,PA 4.13 Ip-PA 4.3 Ihed,
557H,S84,557H_S84_L001_R1_001.fastq,557H_S84_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.18 Ip-PA 4.3 Ihed,
296H,S85,296H_S85_L001_R1_001.fastq,296H_S85_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.13 Ip-PA 4.12 Ihed,
149AP,S86,149AP_S86_L001_R1_001.fastq,149AP_S86_L001_R2_001.fastq,PA4.13Ip,Inter,PA 4.13 Ip-PA 4.2 Ihed,
89AH,S87,89AH_S87_L001_R1_001.fastq,89AH_S87_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.14 Ip-PA 4.15 Ihed,
725AH,S88,725AH_S88_L001_R1_001.fastq,725AH_S88_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.17 Ip-PA 4.15 Ihed,
721AH,S89,721H_S89_L001_R1_001.fastq,721H_S89_L001_R2_001.fastq,PA4.2Ihed,Inter,PA 4.2 Ip-PA 4.2 Ihed,idk if it is 721AH
671AH,S90,671AH_S90_L001_R1_001.fastq,671AH_S90_L001_R2_001.fastq,PA4.2Ihed,Inter,PA 4.16 Ip-PA 4.2 Ihed,
149AH,S91,149AH_S91_L001_R1_001.fastq,149AH_S91_L001_R2_001.fastq,PA4.2Ihed,Inter,PA 4.13 Ip-PA 4.2 Ihed,
657P,S92,657P_S92_L001_R1_001.fastq,657P_S92_L001_R2_001.fastq,PA4.19Ip,Inter,PA 4.19 Ip-PA 4.3 Ihed,
754BP,S93,754BP_S93_L001_R1_001.fastq,754BP_S93_L001_R2_001.fastq,PA4.11Ip,Inter,PA 4.11 Ip-PA 4.15 Ihed,
673AP,S94,673AP_S94_L001_R1_001.fastq,673AP_S94_L001_R2_001.fastq,PA4.11Ip,Inter,PA 4.11 Ip-PA 4.15 Ihed,
Zymopost_plateC,S95,Zymopost_plateC_S95_L001_R1_001.fastq,Zymopost_plateC_S95_L001_R2_001.fastq,Control,Control,Control,
Water_neg_plateC,S96,Water_neg_plateC_S96_L001_R1_001.fastq,Water_neg_plateC_S96_L001_R2_001.fastq,Control,Control,Control,
8P,S97,8P_S97_L001_R1_001.fastq,8P_S97_L001_R2_001.fastq,PA4.17Ip,Inter,PA 4.17 Ip-PA 4.3 Ihed,
442P,S98,442P_S98_L001_R1_001.fastq,442P_S98_L001_R2_001.fastq,PA4.15Ip,Alone,NA,
20H,S99,20H_S99_L001_R1_001.fastq,20H_S99_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.17 Ip-PA 4.3 Ihed,
234P,S100,234P_S100_L001_R1_001.fastq,234P_S100_L001_R2_001.fastq,PA4.16Ip,Alone,NA,
232H,S101,232H_S101_L001_R1_001.fastq,232H_S101_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.19 Ip-PA 4.3 Ihed,
212P,S102,212P_S102_L001_R1_001.fastq,212P_S102_L001_R2_001.fastq,PA4.16Ip,Alone,NA,
232P,S103,232P_S103_L001_R1_001.fastq,232P_S103_L001_R2_001.fastq,PA4.19Ip,Inter,PA 4.19 Ip-PA 4.3 Ihed,
25H,S104,25H_S104_L001_R1_001.fastq,25H_S104_L001_R2_001.fastq,PA4.7Ihed,Inter,PA 4.1 Ip-PA 4.7 Ihed,
35P,S105,35P_S105_L001_R1_001.fastq,35P_S105_L001_R2_001.fastq,PA4.18Ip,Inter,PA 4.18 Ip-PA 4.3 Ihed,
93AH,S106,93AH_S106_L001_R1_001.fastq,93AH_S106_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.11 Ip-PA 4.15 Ihed,
89AP,S107,89AP_S107_L001_R1_001.fastq,89AP_S107_L001_R2_001.fastq,PA4.14Ip,Inter,PA 4.14 Ip-PA 4.15 Ihed,
93AP,S108,93AP_S108_L001_R1_001.fastq,93AP_S108_L001_R2_001.fastq,PA4.11Ip,Inter,PA 4.11 Ip-PA 4.15 Ihed,
84P,S109,84P_S109_L001_R1_001.fastq,84P_S109_L001_R2_001.fastq,PA4.11Ip,Alone,NA,
86P,S110,86P_S110_L001_R1_001.fastq,86P_S110_L001_R2_001.fastq,PA4.18Ip,Alone,NA,
442AP,S111,442AP_S111_L001_R1_001.fastq,442AP_S111_L001_R2_001.fastq,#N/A,#N/A,#N/A,Remove
914P,S112,914P_S112_L001_R1_001.fastq,914P_S112_L001_R2_001.fastq,PA4.19Ip,Inter,PA 4.19 Ip-PA 4.15 Ihed,
964P,S113,964P_S113_L001_R1_001.fastq,964P_S113_L001_R2_001.fastq,PA4.19Ip,Alone,NA,
875AH,S114,875AH_S114_L001_R1_001.fastq,875AH_S114_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.18 Ip-PA 4.15 Ihed,
901H,S115,901H_S115_L001_R1_001.fastq,901H_S115_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.16 Ip-PA 4.12 Ihed,
959H,S116,959H_S116_L001_R1_001.fastq,959H_S116_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.15 Ip-PA 4.12 Ihed,
959P,S117,959P_S117_L001_R1_001.fastq,959P_S117_L001_R2_001.fastq,PA4.15Ip,Inter,PA 4.15 Ip-PA 4.12 Ihed,
951P,S118,951P_S118_L001_R1_001.fastq,951P_S118_L001_R2_001.fastq,PA4.2Ip,Alone,NA,
907P,S119,907P_S119_L001_R1_001.fastq,907P_S119_L001_R2_001.fastq,PA4.18Ip,Alone,NA,
