Sample_ID,Sample_Name,Fastq Read 1 File,Fastq Read 2 File,ML,TRT,Combos,Comment
844P,S178,844P_S178_L001_R1_001.fastq,844P_S178_L001_R2_001.fastq,PA4.17Ip,Inter,PA 4.17 Ip-PA 4.15 Ihed,
861P,S179,861P_S179_L001_R1_001.fastq,861P_S179_L001_R2_001.fastq,PA4.13Ip,Inter,PA 4.13 Ip-PA 4.12 Ihed,
155AH,S180,155AH_S180_L001_R1_001.fastq,155AH_S180_L001_R2_001.fastq,PA4.2Ihed,Inter,PA 4.19 Ip-PA 4.2 Ihed,
797AP,S181,797AP_S181_L001_R1_001.fastq,797AP_S181_L001_R2_001.fastq,PA4.19Ip,Inter,PA 4.19 Ip-PA 4.2 Ihed,
661P,S182,661P_S182_L001_R1_001.fastq,661P_S182_L001_R2_001.fastq,PA4.2Ip,Inter,PA 4.2 Ip-PA 4.15 Ihed,
155AP,S183,155AP_S183_L001_R1_001.fastq,155AP_S183_L001_R2_001.fastq,PA4.19Ip,Inter,PA 4.19 Ip-PA 4.2 Ihed,
157P,S184,157P_S184_L001_R1_001.fastq,157P_S184_L001_R2_001.fastq,PA4.17Ip,Inter,PA 4.17 Ip-PA 4.12 Ihed,
291H,S185,291H_S185_L001_R1_001.fastq,291H_S185_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.19 Ip-PA 4.12 Ihed,
157H,S186,157H_S186_L001_R1_001.fastq,157H_S186_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.17 Ip-PA 4.12 Ihed,
141AP,S187,141AP_S187_L001_R1_001.fastq,141AP_S187_L001_R2_001.fastq,PA4.18Ip,Inter,PA 4.18 Ip-PA 4.15 Ihed,
151AH,S188,151AH_S188_L001_R1_001.fastq,151AH_S188_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.2 Ip-PA 4.15 Ihed,
719AP,S189,719AP_S189_L001_R1_001.fastq,719AP_S189_L001_R2_001.fastq,PA4.16Ip,Inter,PA 4.16 Ip-PA 4.2 Ihed,
699AP,S190,699AP_S190_L001_R1_001.fastq,699AP_S190_L001_R2_001.fastq,PA4.13Ip,Inter,PA 4.13 Ip-PA 4.2 Ihed,
Zymopost_plateD,S191,Zymopost_plateD_S191_L001_R1_001.fastq,Zymopost_plateD_S191_L001_R2_001.fastq,Control,Control,Control,
Water_neg_plateD,S192,Water_neg_plateD_S192_L001_R1_001.fastq,Water_neg_plateD_S192_L001_R2_001.fastq,Control,Control,Control,
